数据id,数据标识,应用部位,产品所属专利号或文献,球头信息_球头基本信息,球头信息_球头_成分组成,球头信息_球头_物理性能,球头信息_球头_微观组织,股骨柄信息_股骨柄基本信息,股骨柄信息_股骨柄_成分组成,股骨柄信息_股骨柄_物理性能,股骨柄信息_股骨柄_微观组织,内衬信息_内衬_基本信息,内衬信息_内衬_改性填料,内衬信息_内衬_成分组成,内衬信息_内衬_物理性能,内衬信息_复合材料性能,内衬信息_内衬_材料表征,体外实验_内衬与球头摩擦腐蚀实验_内衬与球头_实验设置,体外实验_内衬与球头摩擦腐蚀实验_球头腐蚀实验结果,体外实验_内衬与球头摩擦腐蚀实验_内衬腐蚀实验结果,体外实验_内衬与球头摩擦腐蚀实验_内衬与球头_实验环境_润滑液组成,体外实验_内衬与球头摩擦腐蚀实验_球头磨损实验结果,体外实验_内衬与球头摩擦腐蚀实验_内衬磨损实验结果,体外实验_内衬与球头摩擦腐蚀实验_球头表面成分分析,体外实验_球头与锥颈界面微动腐蚀实验_球头与锥颈_实验设置,体外实验_球头与锥颈界面微动腐蚀实验_锥颈与球头_实验环境_润滑液组成,体外实验_球头与锥颈界面微动腐蚀实验_腐蚀与磨损实验结果,paper_id,created_at,updated_at
AJ_20251016_be0c9737_EXP001,耐磨材料综述-未指定配对,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJ_20251016_be0c9737_EXP001,CoCr-CFR PEEK摩擦磨损实验,髋关节,,"{""材料类别"": ""CoCr""}",,,,,,,,"{""材料类别"": ""CFR PEEK"", ""改性填料"": ""30% carbon fiber reinforced"", ""加工工艺"": ""machined from rod form""}","{""填料种类"": ""carbon fiber"", ""添加量"": ""30%""}","{""材料名称"": ""CFR PEEK"", ""成分"": ""30% carbon fiber reinforced PEEK""}","{""弹性模量"": ""6000 MPa"", ""密度"": ""1.38 mg/mm³"", ""Ball Indentation Hardness"": ""298 MPa""}","{""外径"": ""9 mm"", ""高度"": ""12 mm"", ""拉伸强度"": ""112 MPa"", ""断裂伸长率"": ""10%""}",,"{""测试设备"": ""50-station pin-on-disc machine (SuperCTPOD)"", ""摩擦测试条件"": ""elliptical orbital motion"", ""负载"": ""70.7 N"", ""滑动距离"": ""34.62 mm per cycle"", ""运动频率"": ""1 Hz"", ""磨损轨迹路径"": ""12×10 mm"", ""接触应力范围"": ""1.11 MPa to 5.30 MPa""}",,,,"{""重量变化"": ""not significant (ANOVA p-value: 1.00)""}","{""Group 1 (1.11 MPa)"": {""总重量损失"": ""3.97±1.23 mg"", ""磨损率"": ""1.59±1.34 mg/Mc"", ""磨损因子"": ""0.42±0.40 ×10⁻⁶ mm³/Nm""}, ""Group 2 (1.38 MPa)"": {""总重量损失"": ""1.72±0.23 mg"", ""磨损率"": ""0.65±0.15 mg/Mc"", ""磨损因子"": ""0.19±0.04 ×10⁻⁶ mm³/Nm""}, ""Group 3 (1.68 MPa)"": {""总重量损失"": ""1.52±0.24 mg"", ""磨损率"": ""0.61±0.38 mg/Mc"", ""磨损因子"": ""0.18 ×10⁻⁶ mm³/Nm""}, ""Group 4 (2.00 MPa)"": {""总重量损失"": ""1.67±0.34 mg""}, ""Group 5 (5.30 MPa)"": {""总重量损失"": ""1.63±0.34 mg""}, ""对照组重量增加"": ""0.75-0.99 mg"", ""统计分析"": ""Groups 2-5 weight loss insignificant (ANOVA p-value: 0.797); Group 1 vs others significant (ANOVA p-value: 0.007)""}",,,,,,,
AJ_20251016_be0c9737_EXP001,CoCrMo-PEEK扭转微动摩擦磨损,,,"{""材料类别"": ""CoCrMo合金"", ""加工工艺"": null, ""表面处理"": null}",,,,,,,,"{""材料类别"": ""PEEK"", ""分子量"": null, ""结晶度"": null, ""改性填料"": null, ""加工工艺"": null, ""表面处理"": null}",,,"{""硬度"": ""高于UHMWPE（具体数值未提及）"", ""抗蠕变性"": ""压痕深度约为UHMWPE的1/13""}","{""吸水性"": ""高于UHMWPE"", ""耐磨性"": ""优于UHMWPE""}",,"{""测试类型"": ""扭转微动实验"", ""试样配对"": ""CoCrMo pin与PEEK plate"", ""润滑液类型"": ""25%牛血清"", ""运行状态"": ""混合滑移区和滑移区"", ""摩擦转矩变化"": ""T-θ曲线随角位移幅值增加从椭圆型变为平行四边形型""}","{""实验类型"": ""扭转微动腐蚀实验"", ""测量参数"": ""极化曲线和腐蚀电流""}",,"{""环境名称"": ""牛血清润滑"", ""成分"": ""25%牛血清""}",,"{""磨损表面特征"": ""比UHMWPE更窄更浅"", ""平均摩擦系数"": ""略高于UHMWPE""}",,,,,,,
AJ_20251016_be0c9737_EXP002,CoCrMo-UHMWPE摩擦磨损对比,,,"{""材料类别"": ""CoCrMo合金""}",,,,,,,,"{""材料类别"": ""UHMWPE""}",,,,,,"{""润滑液类型"": ""25%牛血清""}",,,"{""环境名称"": ""牛血清润滑"", ""浓度"": ""25%""}",,"{""磨损形貌"": ""磨损表面较宽且较深""}",,,,,,,
AJ_20251016_be0c9737_EXP001,CoCrMo-UHMWPE不同腐蚀电位摩擦磨损实验,,,"{""材料类别"": ""CoCrMo合金""}",,,,,,,,"{""材料类别"": ""UHMWPE""}",,,,,,"{""测试条件"": ""三种腐蚀电位(OCP, 0.5V, -0.5V)"", ""测试环境"": ""生物环境""}","{""静态腐蚀电位"": ""CoCrMo合金静态腐蚀电位稳定"", ""腐蚀描述"": ""被动膜被破坏""}",,,"{""磨损描述"": ""阴极保护条件(-0.5V)下磨损损失最低，减少了腐蚀损失""}","{""磨屑分类"": ""球类(分形维数0-0.40)、片/块类(分形维数0.4-0.62)、条/叶/杆类(分形维数0.62-1)"", ""磨屑数量"": ""OCP电压下运转10万转后提取1034个磨屑""}",,,,,,,
AJ_20251016_be0c9737_EXP001,Ti6Al4V/Ti6Al4V摩擦腐蚀实验,,,"{""材料类别"": ""Ti6Al4V""}",,,,,,,,"{""材料类别"": ""Ti6Al4V""}",,,,,,"{""测试条件"": ""potentiostatic conditions"", ""表面粗糙度"": ""fixed starting surface roughness""}","{""腐蚀电流密度"": ""3 mA/cm² at 73 MPa, 0.2 mA/cm² at 166 MPa, 4 μA/cm² at highest stress"", ""摩擦系数"": ""0.63 at 73 MPa""}",,,,,,,,,,,
AJ_20251016_be0c9737_EXP002,CoCrMo/Ti6Al4V摩擦腐蚀实验,,,"{""材料类别"": ""CoCrMo合金""}",,,,,,,,"{""材料类别"": ""Ti6Al4V合金""}",,,,,,"{""测试条件"": ""potentiostatic conditions"", ""表面粗糙度"": ""fixed starting surface roughness"", ""接触应力范围"": ""0-1000 MPa""}","{""腐蚀电流密度"": ""0.6 mA/cm²"", ""应力水平"": ""80-100 MPa plateau region""}",,"{""环境"": ""aqueous solutions""}","{""摩擦系数"": ""0.3""}",,,,,,,,
AJ_20251016_be0c9737_EXP003,CoCrMo/CoCrMo摩擦腐蚀实验,,,"{""材料类别"": ""CoCrMo合金""}",,,,,,,,"{""材料类别"": ""CoCrMo合金""}",,,,,,"{""测试条件"": ""恒电位条件"", ""初始表面粗糙度"": ""固定值""}","{""腐蚀电流密度"": ""1.2 mA/cm² (at 350 MPa)"", ""应力范围"": ""平台区100-650 MPa""}","{""腐蚀电流密度"": ""1.2 mA/cm² (at 350 MPa)"", ""应力范围"": ""平台区100-650 MPa""}","{""环境"": ""水溶液""}",,,,,,,,,
AJ_20251016_be0c9737_EXP001,CoCrMo-高交联UHMWPE扭转摆动摩擦腐蚀实验,膝关节,,"{""材料类别"": ""CoCrMo合金""}",,,,,,,,"{""材料类别"": ""高交联UHMWPE"", ""加工工艺"": ""辐照交联""}",,,,,,"{""测试条件"": ""扭转和摆动运动"", ""运动形式"": ""扭转磨损运动和摆动运动""}",,,,,"{""磨损行为"": ""磨损损失受摆动角度和法向载荷影响""}",,,,,,,
AJ_20251016_be0c9737_EXP002,CoCrMo-PEEK扭转摆动摩擦腐蚀实验,膝关节,,"{""材料类别"": ""CoCrMo合金""}",,,,,,,,"{""材料类别"": ""PEEK""}",,,,,,"{""测试类型"": ""扭转摆动摩擦腐蚀"", ""运动形式"": ""扭转磨损运动和摆动运动""}",,,,,,,,,,,,
AJ_20251016_be0c9737_EXP001,锻造CoCrMo-锻造CoCrMo摩擦腐蚀实验,人工关节,,"{""材料类别"": ""CoCrMo合金"", ""加工工艺"": ""锻造""}",,,,,,,,"{""材料类别"": ""CoCrMo合金"", ""加工工艺"": ""锻造""}",,,,,,"{""测试设备"": ""UMT-2多功能摩擦磨损试验机和电化学工作站（CHI614E）"", ""润滑液类型"": ""25%小牛血清溶液"", ""负载"": ""不同载荷条件"", ""年循环负荷"": ""100-300万次""}","{""腐蚀电位"": ""-820 mV"", ""钝化现象"": ""在0.5-0.75 V区域出现两次钝化现象"", ""腐蚀电流"": ""随载荷增加而增加"", ""腐蚀损耗"": ""随载荷增加而减少"", ""磨损腐蚀协同作用损耗占比"": ""超过30%的总损耗""}",,"{""环境名称"": ""小牛血清溶液"", ""浓度"": ""25%""}","{""磨损形貌"": ""通过扫描电镜分析"", ""机械磨损损耗"": ""随载荷增加而增加""}",,"{""分析方法"": ""扫描电镜""}",,,,,,
AJ_20251016_be0c9737_EXP001,全髋关节置换术综述,髋关节,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJ_20251016_be0c9737_EXP001,,膝关节,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJ_20251016_be0c9737_EXP001,,,10.1126/science.1213902,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJ_20251016_be0c9737_EXP001,HC CoCrMo与Si3N4在牛血清中摩擦腐蚀实验,髋关节,,"{""材料类别"": ""Silicon Nitride (Si3N4)"", ""加工工艺"": null, ""表面处理"": null}",,"{""直径"": ""12 mm""}",,,,,,"{""材料编号"": ""HC CoCrMo"", ""材料类别"": ""High Carbon Cobalt-Chromium-Molybdenum Alloy"", ""加工工艺"": ""Wrought"", ""表面处理"": ""抛光""}",,见Table 1,"{""硬度"": ""460±11 HV500"", ""表面粗糙度"": ""0.01 μm Ra"", ""直径"": ""25 mm""}",,"{""表征方法"": ""XPS"", ""分析结果"": ""吸附薄膜厚度3-4 nm, 可能为单分子层""}","{""测试设备"": ""往复式摩擦腐蚀试验机(符合ASTM G133标准)"", ""对磨材料"": ""硅氮化物球(12 mm直径)"", ""负载"": ""80 N"", ""频率"": ""1 Hz"", ""行程长度"": ""10 mm"", ""润滑液类型"": ""50%牛血清"", ""测试温度"": null, ""测试时间"": null, ""电化学设置"": ""三电极系统(工作电极:试样25mm直径, 对电极:铂丝>1 cm², 参比电极:Ag/AgCl)""}",,"{""击穿电位Eb"": ""在50%血清中远低于0.36% NaCl溶液中的值"", ""腐蚀速率"": ""蛋白质和氨基酸的存在增加了静态条件下的腐蚀速率(见Table 3)"", ""表面薄膜"": ""接触区形成复杂的纳米结构层,包括磨损碎屑、生物膜和反应产物,改变了钝化膜形成特性""}","{""环境名称"": ""50% Bovine calf serum"", ""成分"": ""含有与关节液相当量的蛋白质和氨基酸"", ""对比溶液"": ""0.36% NaCl溶液""}",,,"{""分析方法"": ""XPS, 氩离子刻蚀"", ""成分组成"": ""吸附薄膜厚度3-4 nm, 白蛋白分子尺寸3×3×8 nm, 在该环境中带负电荷, 推测为单分子层"", ""刻蚀速率"": ""碳物质约0.1 nm/s, Cr2O3约0.08 nm/s""}",,,,,,
AJ_20251016_be0c9737_EXP002,HC CoCrMo与Si3N4在NaCl溶液中的摩擦腐蚀实验,髋关节,,"{""材料类别"": ""Silicon Nitride (Si3N4)"", ""加工工艺"": null, ""表面处理"": null}",,"{""直径"": ""12 mm""}",,,,,,"{""材料编号"": ""HC CoCrMo"", ""材料类别"": ""High carbon cobalt-chromium-molybdenum alloy"", ""加工工艺"": ""Wrought"", ""表面处理"": ""抛光""}",,"{""材料名称"": ""HC CoCrMo"", ""说明"": ""详见Table 1""}","{""硬度"": ""460±11 HV500"", ""表面粗糙度"": ""0.01 μm Ra"", ""直径"": ""25 mm""}",,"{""表征方法"": ""XPS"", ""分析结果"": ""吸附薄膜厚度3-4 nm""}","{""测试设备"": ""Reciprocating tribological tester (ASTM G133标准)"", ""对磨材料"": ""Silicon nitride ball (12 mm直径)"", ""负载"": ""80 N"", ""频率"": ""1 Hz"", ""行程长度"": ""10 mm"", ""润滑液类型"": ""0.36% NaCl溶液"", ""电化学设置"": ""三电极体系(工作电极25mm直径试样, 铂丝对电极>1cm², 银/氯化银参比电极)"", ""说明"": ""σmax低于材料屈服应力""}",,"{""说明"": ""静态条件下腐蚀速率通过阳极极化扫描的Tafel外推法计算(详见Table 3)"", ""击穿电位"": ""在0.36% NaCl中的Eb高于50%血清中的Eb(见Fig.3)""}","{""环境名称"": ""0.36% NaCl溶液"", ""成分"": ""NaCl"", ""浓度"": ""0.36%"", ""说明"": ""用于隔离有机物种(如蛋白质、氨基酸等)的影响""}",,,,,,,,,
AJ_20251016_be0c9737_EXP003,LC CoCrMo与Si3N4在牛血清中摩擦腐蚀实验,髋关节,,"{""材料类别"": ""Silicon Nitride (Si3N4)"", ""加工工艺"": null, ""表面处理"": null}",,"{""直径"": ""12 mm""}",,,,,,"{""材料编号"": ""LC CoCrMo"", ""材料类别"": ""低碳钴铬钼合金"", ""加工工艺"": ""锻造"", ""表面处理"": ""抛光""}",,见Table 1,"{""硬度"": ""448±15 HV500"", ""表面粗糙度"": ""0.01 μm Ra"", ""直径"": ""25 mm""}",,"{""表征方法"": ""XPS"", ""分析结果"": ""表面吸附薄膜厚度3-4 nm""}","{""测试设备"": ""往复式摩擦磨损试验机(符合ASTM G133)"", ""摩擦测试条件"": ""往复滑动"", ""负载"": ""80 N"", ""频率"": ""1 Hz"", ""行程长度"": ""10 mm"", ""润滑液类型"": ""50%牛血清"", ""对摩材料"": ""硅球对LC CoCrMo平面"", ""电化学设置"": ""三电极体系(工作电极:试样, 对电极:铂丝(面积>1 cm²), 参比电极:Ag/AgCl)""}",,"{""击穿电位Eb"": ""50%血清中明显低于0.36% NaCl溶液"", ""腐蚀速率"": ""静态条件下蛋白质和氨基酸的存在似乎增加了腐蚀速率(见Table 3)"", ""表面膜特征"": ""静态条件下50%血清中形成3-4 nm吸附膜(可能为单分子层,白蛋白分子尺寸3×3×8 nm)""}","{""环境名称"": ""50%牛血清"", ""成分"": ""含有与关节液相当量的蛋白质和氨基酸(见Table 2)"", ""对比溶液"": ""0.36% NaCl溶液""}",,,,,,,,,
AJ_20251016_be0c9737_EXP004,LC CoCrMo与Si3N4在NaCl溶液中摩擦腐蚀实验,髋关节,,"{""材料类别"": ""Silicon Nitride (Si3N4)"", ""加工工艺"": null, ""表面处理"": null}",,"{""直径"": ""12 mm""}",,,,,,"{""材料编号"": ""LC CoCrMo"", ""材料类别"": ""低碳钴铬钼合金"", ""加工工艺"": ""锻造"", ""表面处理"": ""抛光""}",,"{""材料名称"": ""LC CoCrMo"", ""成分"": ""见Table 1""}","{""硬度"": ""448±15 HV500"", ""表面粗糙度"": ""0.01 μm Ra"", ""直径"": ""25 mm""}",,"{""表征方法"": ""XPS"", ""分析结果"": ""表面吸附薄膜厚度3-4 nm""}","{""测试设备"": ""往复式摩擦腐蚀试验机(符合ASTM G133)"", ""摩擦测试条件"": ""往复滑动"", ""负载"": ""80 N"", ""频率"": ""1 Hz"", ""行程长度"": ""10 mm"", ""润滑液类型"": ""0.36% NaCl溶液"", ""测试温度"": null, ""测试时间"": null, ""备注"": ""三电极电化学池集成,工作电极为试样(25mm直径),对电极为铂丝(面积>1cm²),参比电极为Ag/AgCl电极""}",,"{""实验方法"": ""阳极极化扫描和Tafel外推法"", ""击穿电位Eb"": ""在0.36% NaCl中高于50%血清中的值"", ""腐蚀速率"": ""见Table 3,通过Tafel外推计算得出"", ""备注"": ""静态条件下腐蚀速率数据见Table 3""}","{""环境名称"": ""NaCl溶液"", ""成分"": ""NaCl"", ""浓度"": ""0.36%""}",,,,,,,,,
AJ_20251016_be0c9737_EXP005,316L不锈钢与Si3N4在牛血清中摩擦腐蚀实验,髋关节,,"{""材料编号"": ""Si3N4"", ""材料类别"": ""Silicon Nitride"", ""加工工艺"": null, ""表面处理"": null}",,"{""直径"": ""12 mm""}",,,,,,"{""材料编号"": ""UNS S31603"", ""材料类别"": ""Stainless Steel 316L"", ""分子量"": null, ""结晶度"": null, ""改性填料"": null, ""加工工艺"": null, ""表面处理"": ""抛光""}",,,"{""硬度"": ""290±18 HV500"", ""直径"": ""25 mm"", ""表面粗糙度"": ""0.01 μm Ra""}",,"{""表征方法"": ""XPS"", ""分析结果"": ""薄吸附膜厚度3-4 nm""}","{""测试设备"": ""往复式摩擦腐蚀试验机(符合ASTM G133)"", ""摩擦测试条件"": ""往复滑动"", ""负载"": ""80 N"", ""频率"": ""1 Hz"", ""行程长度"": ""10 mm"", ""润滑液类型"": ""50%牛血清和0.36% NaCl溶液"", ""测试温度"": null, ""测试时间"": null, ""电极配置"": ""三电极系统(工作电极:试样25mm直径,对电极:铂丝>1cm²,参比电极:银/氯化银)""}",,"{""击穿电位"": ""316L在50%血清和0.36% NaCl中Eb值相似"", ""腐蚀速率"": ""50%血清中腐蚀速率高于0.36% NaCl(静态条件)"", ""测试方法"": ""阳极极化扫描和Tafel外推法""}","{""环境1"": {""名称"": ""50%牛血清"", ""成分"": ""蛋白质和氨基酸"", ""浓度"": ""50%""}, ""环境2"": {""名称"": ""NaCl溶液"", ""浓度"": ""0.36%""}}",,,,,,,,,
AJ_20251016_be0c9737_EXP006,316L不锈钢与Si3N4在NaCl溶液中摩擦腐蚀实验,髋关节,,"{""材料编号"": ""Si3N4"", ""材料类别"": ""Silicon Nitride"", ""加工工艺"": null, ""表面处理"": null}",,"{""直径"": ""12 mm""}",,,,,,"{""材料编号"": ""UNS S31603"", ""材料类别"": ""Stainless Steel 316L"", ""分子量"": null, ""结晶度"": null, ""改性填料"": null, ""加工工艺"": null, ""表面处理"": ""抛光""}",,,"{""硬度"": ""290±18 HV500"", ""表面粗糙度"": ""0.01 μm Ra"", ""直径"": ""25 mm""}",,,"{""测试设备"": ""往复式磨损测试仪(符合ASTM G133标准)"", ""摩擦测试条件"": ""往复滑动"", ""负载"": ""80 N"", ""频率"": ""1 Hz"", ""行程长度"": ""10 mm"", ""润滑液类型"": ""0.36% NaCl溶液"", ""测试温度"": null, ""测试时间"": null, ""电化学设置"": ""三电极体系(工作电极为试样,对电极为铂丝(面积>1 cm²),参比电极为Ag/AgCl电极)""}",,"{""击穿电位"": ""在0.36% NaCl溶液中测得"", ""腐蚀速率"": ""通过阳极极化扫描Tafel外推法计算"", ""说明"": ""316L在0.36% NaCl和50%血清中显示相似的击穿电位值,血清中有机成分在静态条件下增加腐蚀速率""}","{""环境名称"": ""NaCl溶液"", ""成分"": ""NaCl"", ""浓度"": ""0.36%""}",,,,,,,,,
AJ_20251016_be0c9737_EXP001,PEEK-Ti6Al4V锥度连接摩擦腐蚀实验,髋关节,,"{""材料类别"": ""PEEK""}",,,,,,,,"{""材料类别"": ""Ti6Al4V""}",,,,,,"{""摩擦测试条件"": ""微动腐蚀实验"", ""负载"": ""10 N, 40 N, 80 N"", ""摩擦幅值"": ""40 μm, 80 μm, 160 μm"", ""润滑液类型"": ""25% FBS, SBF, NS"", ""极化电位"": ""0.2 V"", ""稳定时间"": ""1小时""}","{""开路电位"": ""实验前后测量并比较"", ""腐蚀电流"": ""实时监测记录"", ""离子释放量"": ""使用ICP-MS分析润滑液中金属离子浓度""}",,"{""25% FBS"": ""蛋白质、肽类"", ""SBF"": ""NaCl, KCl, MgCl, CaCl"", ""NS"": ""NaCl""}",,,"{""分析方法"": ""扫描电镜SEM (S3000N, Hitachi)"", ""用途"": ""拍摄微动磨损形貌""}","{""测试设备"": ""微动腐蚀试验机"", ""负载"": ""10 N, 40 N, 80 N"", ""微动幅值"": ""40 μm, 80 μm, 160 μm"", ""极化电位"": ""0.2 V"", ""稳定时间"": ""1小时"", ""接触稳定时间"": ""实验前后各1小时""}","{""25% FBS"": ""蛋白质、肽类"", ""SBF"": ""NaCl, KCl, MgCl, CaCl"", ""NS"": ""NaCl""}","{""开路电位变化"": ""实验前后对比测量"", ""腐蚀电流"": ""实时监测记录"", ""金属离子浓度"": ""ICP-MS (Optima 80000, PerkinElmer)分析"", ""磨损形貌"": ""SEM观察上下样品微动磨损形貌""}",,,
AJ_20251016_be0c9737_EXP002,CoCrMo-Ti6Al4V锥度连接摩擦腐蚀实验,髋关节,,"{""材料类别"": ""CoCrMo""}",,,,,,,,"{""材料类别"": ""Ti6Al4V""}",,,,,,"{""测试设备"": ""S3000N扫描电镜(Hitachi)"", ""摩擦测试条件"": ""微动腐蚀实验"", ""负载"": ""10 N, 40 N, 80 N"", ""微动幅值"": ""40 μm, 80 μm, 160 μm"", ""润滑液类型"": ""25% FBS"", ""极化电位"": ""0.2 V"", ""稳定时间"": ""1小时""}","{""测试方法"": ""电化学腐蚀监测"", ""开路电位"": ""实验前后测量并比较"", ""极化电位"": ""0.2 V维持1小时"", ""腐蚀电流"": ""实时监测和记录"", ""离子释放量检测"": ""ICP-MS(Optima 80000, PerkinElmer)分析润滑液中金属离子浓度""}","{""测试方法"": ""电化学腐蚀监测"", ""开路电位"": ""实验前后测量并比较"", ""极化电位"": ""0.2 V维持1小时""}","{""润滑液1"": {""名称"": ""25% FBS"", ""成分"": ""蛋白质、肽类""}, ""润滑液2"": {""名称"": ""SBF"", ""成分"": ""NaCl, KCl, MgCl, CaCl""}, ""润滑液3"": {""名称"": ""NS"", ""成分"": ""NaCl""}}",,,"{""分析方法"": ""扫描电镜(S3000N, Hitachi)观察微动磨损形貌""}","{""实验类型"": ""锥度连接微动腐蚀"", ""材料配对"": ""CoCrMo-Ti6Al4V"", ""负载"": ""10 N, 40 N, 80 N"", ""微动幅值"": ""40 μm, 80 μm, 160 μm"", ""应力范围"": ""0-275 MPa"", ""微动幅值范围"": ""0-38 μm"", ""安全阈值"": ""160"", ""极化电位"": ""0.2 V"", ""稳定时间"": ""1小时"", ""重复次数"": ""3次""}","{""润滑液1"": {""名称"": ""25% FBS"", ""成分"": ""蛋白质、肽类""}, ""润滑液2"": {""名称"": ""SBF"", ""成分"": ""NaCl, KCl, MgCl, CaCl""}, ""润滑液3"": {""名称"": ""NS"", ""成分"": ""NaCl""}}","{""测试方法"": ""扫描电镜(S3000N, Hitachi)观察微动磨损形貌, ICP-MS(Optima 80000, PerkinElmer)分析金属离子浓度"", ""开路电位"": ""实验前后测量并比较变化"", ""腐蚀电流"": ""实时监测和记录"", ""离子释放"": ""检测Cr、Ti、Co离子浓度""}",,,
